Term,RGB,,,,
0x18] rsi,"rgb(235, 190, 158)",,,,
r9 rax,"rgb(235, 189, 159)",,,,
rcx [rdx,"rgb(235, 188, 160)",,,,
r8 [rbp,"rgb(235, 187, 161)",,,,
eax r8d,"rgb(235, 186, 162)",,,,
ptr [edx,"rgb(235, 185, 163)",,,,
lea r15,"rgb(235, 184, 164)",,,,
0x20] rdi,"rgb(235, 183, 165)",,,,
[rcx] rax,"rgb(234, 195, 154)",,,,
rdx r8,"rgb(234, 194, 155)",,,,
+ 0x4c],"rgb(234, 193, 156)",,,,
+ 0xe0],"rgb(234, 192, 157)",,,,
r12d eax,"rgb(234, 191, 158)",,,,
r9 rbx,"rgb(234, 190, 159)",,,,
add r13,"rgb(234, 189, 160)",,,,
cdqe,"rgb(234, 188, 161)",,,,
rcx dword,"rgb(234, 187, 162)",,,,
r15d r15d,"rgb(234, 186, 163)",,,,
rbp rdx,"rgb(234, 185, 164)",,,,
movabs rax,"rgb(234, 184, 165)",,,,
0x38] 0,"rgb(233, 195, 155)",,,,
+ 0xa8],"rgb(233, 194, 156)",,,,
sub r8,"rgb(233, 193, 157)",,,,
shl rax,"rgb(233, 192, 158)",,,,
rbx [rip,"rgb(233, 191, 159)",,,,
test r8d,"rgb(233, 190, 160)",,,,
cmp r8d,"rgb(233, 189, 161)",,,,
+ 0x74],"rgb(233, 188, 162)",,,,
lea r11,"rgb(233, 187, 163)",,,,
r12 rdx,"rgb(233, 186, 164)",,,,
r15 rax,"rgb(233, 185, 165)",,,,
+ 0xf0],"rgb(232, 195, 156)",,,,
r9 [rsp,"rgb(232, 194, 157)",,,,
[rcx] al,"rgb(232, 193, 158)",,,,
r15d 2,"rgb(232, 192, 159)",,,,
rdi [rip,"rgb(232, 191, 160)",,,,
movsxd r8,"rgb(232, 190, 161)",,,,
+ rbx],"rgb(232, 189, 162)",,,,
+ 0x44],"rgb(232, 188, 163)",,,,
r12d 1,"rgb(232, 187, 164)",,,,
rcx 1,"rgb(232, 186, 165)",,,,
0x10] rbx,"rgb(231, 195, 157)",,,,
- 0x22],"rgb(231, 194, 158)",,,,
- 0x14],"rgb(231, 193, 159)",,,,
r8 r12,"rgb(231, 192, 160)",,,,
+ 0x34],"rgb(231, 191, 161)",,,,
rbx r8,"rgb(231, 190, 162)",,,,
eax r12d,"rgb(231, 189, 163)",,,,
rsp 0x48,"rgb(231, 188, 164)",,,,
+ 0xd0],"rgb(231, 187, 165)",,,,
add r14,"rgb(230, 195, 158)",,,,
shr rax,"rgb(230, 194, 159)",,,,
ecx [ebp,"rgb(230, 193, 160)",,,,
r14 r14,"rgb(230, 192, 161)",,,,
setne al,"rgb(230, 191, 162)",,,,
r9d 1,"rgb(230, 190, 163)",,,,
r8d eax,"rgb(230, 189, 164)",,,,
0x10] rsi,"rgb(230, 188, 165)",,,,
+ 0xd8],"rgb(229, 195, 159)",,,,
movdqu xmmword,"rgb(229, 194, 160)",,,,
[rdi -,"rgb(229, 193, 161)",,,,
rax -8,"rgb(229, 192, 162)",,,,
test r14,"rgb(229, 191, 163)",,,,
add qword,"rgb(229, 190, 164)",,,,
cmp r13,"rgb(229, 189, 165)",,,,
rdx 8,"rgb(228, 195, 160)",,,,
movzx r8d,"rgb(228, 194, 161)",,,,
- 0x21],"rgb(228, 193, 162)",,,,
+ 0x19],"rgb(228, 192, 163)",,,,
add edi,"rgb(228, 191, 164)",,,,
- 0x80],"rgb(228, 190, 165)",,,,
0x20] rsi,"rgb(227, 195, 161)",,,,
edx [rax,"rgb(227, 194, 162)",,,,
xor r15d,"rgb(227, 193, 163)",,,,
rdx [rbx,"rgb(227, 192, 164)",,,,
- 0x23],"rgb(227, 191, 165)",,,,
8] eax,"rgb(226, 195, 162)",,,,
xword ptr,"rgb(226, 194, 163)",,,,
+ 0xe8],"rgb(226, 193, 164)",,,,
0,"rgb(226, 192, 165)",,,,
0x10] eax,"rgb(225, 195, 163)",,,,
rsp 0x50,"rgb(225, 194, 164)",,,,
0xc] eax,"rgb(225, 193, 165)",,,,
+ rdx*4],"rgb(224, 195, 164)",,,,
rdx r10,"rgb(224, 194, 165)",,,,
- 0x1c],"rgb(223, 195, 165)",,,,
+ 7],"rgb(235, 195, 152)",,,,
4] eax,"rgb(235, 194, 153)",,,,
0x10] rbp,"rgb(235, 193, 154)",,,,
- 0x70],"rgb(235, 192, 155)",,,,
add r12,"rgb(235, 191, 156)",,,,
[rbx] rax,"rgb(235, 190, 157)",,,,
r10d dword,"rgb(235, 189, 158)",,,,
jmp rax,"rgb(235, 188, 159)",,,,
#NAME?,"rgb(235, 187, 160)",,,,
r13 +,"rgb(235, 186, 161)",,,,
rbx rdi,"rgb(235, 185, 162)",,,,
sub rbx,"rgb(235, 184, 163)",,,,
rax -1,"rgb(235, 183, 164)",,,,
+ 0x54],"rgb(235, 182, 165)",,,,
rsi r8,"rgb(234, 195, 153)",,,,
r12 r13,"rgb(234, 194, 154)",,,,
r8 0xffffffffffffffff,"rgb(234, 193, 155)",,,,
cmp r9d,"rgb(234, 192, 156)",,,,
0x58] rax,"rgb(234, 191, 157)",,,,
[rbx] 0,"rgb(234, 190, 158)",,,,
rbx rsi,"rgb(234, 189, 159)",,,,
r12d dword,"rgb(234, 188, 160)",,,,
lea r10,"rgb(234, 187, 161)",,,,
0x18] rax,"rgb(234, 186, 162)",,,,
rax [rax,"rgb(234, 185, 163)",,,,
1] 0,"rgb(234, 184, 164)",,,,
shl rdx,"rgb(234, 183, 165)",,,,
- 2],"rgb(233, 195, 154)",,,,
r8 r14,"rgb(233, 194, 155)",,,,
0x50] rax,"rgb(233, 193, 156)",,,,
rdx dword,"rgb(233, 192, 157)",,,,
[r11 -,"rgb(233, 191, 158)",,,,
+ 0x27],"rgb(233, 190, 159)",,,,
0x48] 0,"rgb(233, 189, 160)",,,,
+ rax*2],"rgb(233, 188, 161)",,,,
r13 r13,"rgb(233, 187, 162)",,,,
[rdx*2 +,"rgb(233, 186, 163)",,,,
0x58] rdi,"rgb(233, 185, 164)",,,,
ecx 0xa,"rgb(233, 184, 165)",,,,
ecx r12d,"rgb(232, 195, 155)",,,,
movzx r9d,"rgb(232, 194, 156)",,,,
rdx [rdx*2,"rgb(232, 193, 157)",,,,
rax r14,"rgb(232, 192, 158)",,,,
r9d eax,"rgb(232, 191, 159)",,,,
test r13,"rgb(232, 190, 160)",,,,
r15 r12,"rgb(232, 189, 161)",,,,
r8 rcx,"rgb(232, 188, 162)",,,,
rax r9,"rgb(232, 187, 163)",,,,
0x50] 0,"rgb(232, 186, 164)",,,,
ptr [r10],"rgb(232, 185, 165)",,,,
+ 0x9c],"rgb(231, 195, 156)",,,,
0x20] rbx,"rgb(231, 194, 157)",,,,
xadd dword,"rgb(231, 193, 158)",,,,
eax r13d,"rgb(231, 192, 159)",,,,
call rax,"rgb(231, 191, 160)",,,,
cmp r9,"rgb(231, 190, 161)",,,,
- 0x34],"rgb(231, 189, 162)",,,,
0x40] 0,"rgb(231, 188, 163)",,,,
r14d dword,"rgb(231, 187, 164)",,,,
+ 6],"rgb(231, 186, 165)",,,,
rdi rbx,"rgb(230, 195, 157)",,,,
+ rsi],"rgb(230, 194, 158)",,,,
r8 r15,"rgb(230, 193, 159)",,,,
r9 rdi,"rgb(230, 192, 160)",,,,
[rcx] eax,"rgb(230, 191, 161)",,,,
[rsi -,"rgb(230, 190, 162)",,,,
#NAME?,"rgb(230, 189, 163)",,,,
r11d r11d,"rgb(230, 188, 164)",,,,
