Term,RGB
edi [ecx+44h],"rgb(91, 138, 92)"
[ebp+514h+var_58C] ecx,"rgb(91, 137, 93)"
eax [edx+1D4h],"rgb(91, 136, 94)"
short loc_406A0E,"rgb(91, 135, 95)"
call sub_10006DB0,"rgb(91, 134, 96)"
short loc_4068C4,"rgb(91, 133, 97)"
[ebp+var_204] 0,"rgb(91, 132, 98)"
0C0004h 80008h,"rgb(91, 131, 99)"
[ebp+var_74] offset,"rgb(91, 130, 100)"
ptr [edi+0F4h],"rgb(91, 129, 101)"
short loc_402849,"rgb(91, 128, 102)"
short loc_1000579C,"rgb(91, 127, 103)"
short loc_401AE9,"rgb(91, 126, 104)"
short loc_4061F5,"rgb(91, 125, 105)"
short loc_4038C6,"rgb(91, 124, 106)"
[ebp+var_28] cx,"rgb(91, 123, 107)"
cmp [ebp+var_318],"rgb(91, 122, 108)"
[ebp+Y] eax,"rgb(91, 121, 109)"
cmp [ebp+514h+var_58C],"rgb(91, 120, 110)"
short loc_100050EC,"rgb(91, 119, 111)"
eax [ebp-0CCh],"rgb(91, 118, 112)"
short loc_10004362,"rgb(91, 117, 113)"
short loc_100016D0,"rgb(91, 116, 114)"
ebp [edi+24h],"rgb(91, 115, 115)"
short loc_100042AA,"rgb(91, 114, 116)"
[ebp+var_D] bl,"rgb(91, 113, 117)"
short loc_4090CF,"rgb(91, 112, 118)"
short loc_40261E,"rgb(91, 111, 119)"
short loc_401EF5,"rgb(91, 110, 120)"
short loc_10005D46,"rgb(90, 140, 91)"
short loc_408199,"rgb(90, 139, 92)"
short loc_10002930,"rgb(90, 138, 93)"
short loc_100029A9,"rgb(90, 137, 94)"
mov [ebp+var_18D],"rgb(90, 136, 95)"
short loc_10005BE3,"rgb(90, 135, 96)"
short loc_10005F40,"rgb(90, 134, 97)"
ecx 0FFFEh,"rgb(90, 133, 98)"
call sub_401709,"rgb(90, 132, 99)"
call sub_40256E,"rgb(90, 131, 100)"
call sub_402380,"rgb(90, 130, 101)"
call sub_100022B7,"rgb(90, 129, 102)"
short loc_4042A6,"rgb(90, 128, 103)"
mov [esp+98h+var_88],"rgb(90, 127, 104)"
call sub_416B00,"rgb(90, 126, 105)"
short loc_402C4A,"rgb(90, 125, 106)"
short loc_10005E77,"rgb(90, 124, 107)"
short loc_402C41,"rgb(90, 123, 108)"
call sub_10003020,"rgb(90, 122, 109)"
[esi+110h] 0,"rgb(90, 121, 110)"
edi 44h,"rgb(90, 120, 111)"
ebp [esp+20h+var_C],"rgb(90, 119, 112)"
ebp [esp+18h+var_8],"rgb(90, 118, 113)"
call ds:SetDlgItemTextW,"rgb(90, 117, 114)"
ebx 80000002h,"rgb(90, 116, 115)"
short loc_401136,"rgb(90, 115, 116)"
jmp loc_10003D77,"rgb(90, 114, 117)"
ecx [ebp+var_82C],"rgb(90, 113, 118)"
short loc_409246,"rgb(90, 112, 119)"
ecx [ebp-0F8h],"rgb(90, 111, 120)"
edi [esi+138h],"rgb(120, 110, 90)"
[esp+18h+var_4] 6,"rgb(119, 111, 90)"
[esp+18h+var_4] 7,"rgb(119, 110, 91)"
[esp+18h+var_4] 8,"rgb(118, 112, 90)"
ecx [esp+0BCh+var_60],"rgb(118, 111, 91)"
[ebp+var_124] ecx,"rgb(118, 110, 92)"
[ebp+var_24] 5,"rgb(117, 113, 90)"
ptr [ecx+1C0h],"rgb(117, 112, 91)"
[ecx+28h] 1,"rgb(117, 111, 92)"
ptr [esp+70h],"rgb(117, 110, 93)"
ebx ds:ShowWindow,"rgb(116, 114, 90)"
short loc_407C3F,"rgb(116, 113, 91)"
call sub_401310,"rgb(116, 112, 92)"
short loc_403051,"rgb(116, 111, 93)"
short loc_10006808,"rgb(116, 110, 94)"
short loc_10005B71,"rgb(115, 115, 90)"
dw 8Bh,"rgb(115, 114, 91)"
ptr [edi+0Fh],"rgb(115, 113, 92)"
ptr [edi+ecx*2],"rgb(115, 112, 93)"
short loc_100057DC,"rgb(115, 111, 94)"
short loc_407A38,"rgb(115, 110, 95)"
mov [esp+58h],"rgb(114, 116, 90)"
mov [esp+0A8h+var_4],"rgb(114, 115, 91)"
[ebp-2] 0,"rgb(114, 114, 92)"
short loc_1000414E,"rgb(114, 113, 93)"
short loc_10004151,"rgb(114, 112, 94)"
call sub_402704,"rgb(114, 111, 95)"
short loc_403B61,"rgb(114, 110, 96)"
short loc_10004183,"rgb(113, 117, 90)"
short loc_10003FF8,"rgb(113, 116, 91)"
short loc_402BE2,"rgb(113, 115, 92)"
short loc_10002262,"rgb(113, 114, 93)"
short loc_10002290,"rgb(113, 113, 94)"
short loc_402D79,"rgb(113, 112, 95)"
push 495h,"rgb(113, 111, 96)"
mov [ebp+514h+var_58C],"rgb(113, 110, 97)"
short loc_10002310,"rgb(112, 118, 90)"
call sub_4022C0,"rgb(112, 117, 91)"
eax lpClassName,"rgb(112, 116, 92)"
ecx [esi+160h],"rgb(112, 115, 93)"
short loc_404202,"rgb(112, 114, 94)"
short loc_402D3E,"rgb(112, 113, 95)"
ebx ds:GetTickCount,"rgb(112, 112, 96)"
short loc_40138C,"rgb(112, 111, 97)"
edx 3E9h,"rgb(112, 110, 98)"
call sub_405AB0,"rgb(111, 119, 90)"
[ebp+var_24] 8000h,"rgb(111, 118, 91)"
[ebp-18h] 0FFFFFFFFh,"rgb(111, 117, 92)"
mov [ebp-148h],"rgb(111, 116, 93)"
mov [ebp-144h],"rgb(111, 115, 94)"
ptr [ebp+var_14+1],"rgb(111, 114, 95)"
[ebp+var_C8] ecx,"rgb(111, 113, 96)"
ebx 68h,"rgb(111, 112, 97)"
short loc_10006BDE,"rgb(111, 111, 98)"
or [ebp+var_5C],"rgb(111, 110, 99)"
push 288h,"rgb(110, 120, 90)"
ecx [ebp+var_318],"rgb(110, 119, 91)"
ecx [ebp-180h],"rgb(110, 118, 92)"
eax dword_10029670,"rgb(110, 117, 93)"
ecx [ebx-8],"rgb(110, 116, 94)"
eax [ebp+var_1F8],"rgb(110, 115, 95)"
dec [ebp+var_E],"rgb(110, 114, 96)"
short loc_401A80,"rgb(110, 113, 97)"
short loc_404BA4,"rgb(110, 112, 98)"
short loc_40460C,"rgb(110, 111, 99)"
esi [ebp+var_21C],"rgb(110, 110, 100)"
mov [eax+0E8h],"rgb(109, 121, 90)"
short loc_10006C34,"rgb(109, 120, 91)"
dl [esi+edi],"rgb(109, 119, 92)"
mov [ebp+var_388],"rgb(109, 118, 93)"
ptr [ecx+edi+4],"rgb(109, 117, 94)"
inc [ebp+var_19C],"rgb(109, 116, 95)"
push 9Ah,"rgb(109, 115, 96)"
call ds:FileTimeToDosDateTime,"rgb(109, 114, 97)"
ptr [ebp-0D8Ch],"rgb(109, 113, 98)"
short loc_4041AC,"rgb(109, 112, 99)"
short loc_10006098,"rgb(109, 111, 100)"
short loc_401D2F,"rgb(109, 110, 101)"
short loc_401DC8,"rgb(108, 122, 90)"
short loc_402E39,"rgb(108, 121, 91)"
[ebp+var_4C0] 0,"rgb(108, 120, 92)"
short loc_100023C0,"rgb(108, 119, 93)"
short loc_10002398,"rgb(108, 118, 94)"
short loc_10002C22,"rgb(108, 117, 95)"
[ebp+arg_4] cl,"rgb(108, 116, 96)"
dl 60h,"rgb(108, 115, 97)"
[esp+40h+var_24] edx,"rgb(108, 114, 98)"
eax [esp+0E8h+var_C0],"rgb(108, 113, 99)"
short loc_10002460,"rgb(108, 112, 100)"
short loc_403054,"rgb(108, 111, 101)"
short loc_10002808,"rgb(108, 110, 102)"
esi [ebp+var_B0],"rgb(107, 123, 90)"
jmp ds:RegSetValueExW,"rgb(107, 122, 91)"
short loc_4026BD,"rgb(107, 121, 92)"
ecx [ebp-19Ch],"rgb(107, 120, 93)"
mov [esp+0ECh+var_BC],"rgb(107, 119, 94)"
short loc_100040CF,"rgb(107, 118, 95)"
short loc_10003F8E,"rgb(107, 117, 96)"
call sub_40E870,"rgb(107, 116, 97)"
call ds:FindNextFileW,"rgb(107, 115, 98)"
short loc_403EB3,"rgb(107, 114, 99)"
call ds:SystemParametersInfoA,"rgb(107, 113, 100)"
[ebp+var_C20] eax,"rgb(107, 112, 101)"
eax [esp+50h+var_24],"rgb(107, 111, 102)"
short loc_40593C,"rgb(107, 110, 103)"
[esp+0Ch+arg_4] ecx,"rgb(106, 124, 90)"
short loc_10001810,"rgb(106, 123, 91)"
call ds:CreateMutexW,"rgb(106, 122, 92)"
short loc_401A0A,"rgb(106, 121, 93)"
call ds:DialogBoxParamW,"rgb(106, 120, 94)"
[ebx+64h] esi,"rgb(106, 119, 95)"
call nullsub_5,"rgb(106, 118, 96)"
short loc_404DC3,"rgb(106, 117, 97)"
[edi+50h] 0,"rgb(106, 116, 98)"
[ebp+var_498] 0,"rgb(106, 115, 99)"
short loc_401D9C,"rgb(106, 114, 100)"
short loc_402F74,"rgb(106, 113, 101)"
ecx [ebp+x],"rgb(106, 112, 102)"
eax [esp+0E0h+var_C4],"rgb(106, 111, 103)"
short loc_403273,"rgb(106, 110, 104)"
short loc_4050C0,"rgb(105, 125, 90)"
short loc_403347,"rgb(105, 124, 91)"
esp 950h,"rgb(105, 123, 92)"
short loc_41010E,"rgb(105, 122, 93)"
di 2Fh,"rgb(105, 121, 94)"
short loc_403C02,"rgb(105, 120, 95)"
jmp ds:toupper,"rgb(105, 119, 96)"
dd 5Dh,"rgb(105, 118, 97)"
jmp ds:RegCreateKeyExW,"rgb(105, 117, 98)"
short loc_4100D3,"rgb(105, 116, 99)"
short loc_100089F8,"rgb(105, 115, 100)"
[ecx+edx*8+4] 1,"rgb(105, 114, 101)"
[ecx+edi] bl,"rgb(105, 113, 102)"
call sub_401385,"rgb(105, 112, 103)"
[ecx+eax*4+4] 0FDh,"rgb(105, 111, 104)"
[ebx+edi*2] 0,"rgb(105, 110, 105)"
[ebp+var_808] eax,"rgb(104, 126, 90)"
ecx 7Eh,"rgb(104, 125, 91)"
push [esp+1Ch+arg_4],"rgb(104, 124, 92)"
dd 46h,"rgb(104, 123, 93)"
dd 32h,"rgb(104, 122, 94)"
short loc_100061BC,"rgb(104, 121, 95)"
[esi+4Ch] ax,"rgb(104, 120, 96)"
short loc_40395E,"rgb(104, 119, 97)"
cmp [ebp+var_26],"rgb(104, 118, 98)"
dec [ebp+var_2C],"rgb(104, 117, 99)"
ecx 0FFFFFF84h,"rgb(104, 116, 100)"
add [ebp+514h+var_568],"rgb(104, 115, 101)"
short loc_10003D3B,"rgb(104, 114, 102)"
call ?Close@CFile@@UAEXXZ,"rgb(104, 113, 103)"
Buffer 0,"rgb(104, 112, 104)"
esi [ebx+8Ch],"rgb(104, 111, 105)"
jmp esp,"rgb(104, 110, 106)"
jmp ds:GetVersion,"rgb(103, 127, 90)"
jmp ds:GlobalLock,"rgb(103, 126, 91)"
short loc_407793,"rgb(103, 125, 92)"
[esp+40h+var_18] ebx,"rgb(103, 124, 93)"
[esp+40h+var_14] ebx,"rgb(103, 123, 94)"
[esp+40h+var_10] esp,"rgb(103, 122, 95)"
ecx [ebp-264h],"rgb(103, 121, 96)"
[edi+34h] esi,"rgb(103, 120, 97)"
[edi+2] cl,"rgb(103, 119, 98)"
dd 57h,"rgb(103, 118, 99)"
dd 58h,"rgb(103, 117, 100)"
ecx [esp+14h+lpSrcStr],"rgb(103, 116, 101)"
[esp+28h+var_18] esi,"rgb(103, 115, 102)"
[ebp+var_EC] edx,"rgb(103, 114, 103)"
[eax+0Eh] 0,"rgb(103, 113, 104)"
dw 1D3h,"rgb(103, 112, 105)"
call sub_40CE40,"rgb(103, 111, 106)"
ecx 4000000h,"rgb(103, 110, 107)"
ecx 3E9h,"rgb(102, 128, 90)"
short loc_10003E1D,"rgb(102, 127, 91)"
bl 25h,"rgb(102, 126, 92)"
short loc_403428,"rgb(102, 125, 93)"
ptr [esp+18h+arg_0],"rgb(102, 124, 94)"
ebp ds:lstrcatA,"rgb(102, 123, 95)"
short loc_40746E,"rgb(102, 122, 96)"
eax [ebp-150h],"rgb(102, 121, 97)"
rol al,"rgb(102, 120, 98)"
short loc_1000263A,"rgb(102, 119, 99)"
short loc_100026DA,"rgb(102, 118, 100)"
esi [ebx+34h],"rgb(102, 117, 101)"
offset aStatic,"rgb(102, 116, 102)"
offset aM_0,"rgb(102, 115, 103)"
xorps xmm0,"rgb(102, 114, 104)"
dw 1B3h,"rgb(102, 113, 105)"
[ebp+var_D0] edx,"rgb(102, 112, 106)"
[ebp+18h] 8,"rgb(102, 111, 107)"
short loc_402F2D,"rgb(102, 110, 108)"
short loc_401B9D,"rgb(101, 129, 90)"
short loc_10006486,"rgb(101, 128, 91)"
dw 132h,"rgb(101, 127, 92)"
push 2726h,"rgb(101, 126, 93)"
call DdeFreeDataHandle,"rgb(101, 125, 94)"
[ebp+pExecInfo.cbSize] 3Ch,"rgb(101, 124, 95)"
short loc_40386A,"rgb(101, 123, 96)"
eax 0B0h,"rgb(101, 122, 97)"
ebp [esp+24h+var_C],"rgb(101, 121, 98)"
edi 5Ch,"rgb(101, 120, 99)"
short loc_10003504,"rgb(101, 119, 100)"
short loc_1000350E,"rgb(101, 118, 101)"
push [esp+20h+ExceptionRecord],"rgb(101, 117, 102)"
mov [ebp+var_5A0],"rgb(101, 116, 103)"
cmp [eax-1],"rgb(101, 115, 104)"
short loc_10007AE6,"rgb(101, 114, 105)"
short loc_4040FE,"rgb(101, 113, 106)"
ptr [eax+158h],"rgb(101, 112, 107)"
[eax+5] cl,"rgb(101, 111, 108)"
short loc_402574,"rgb(101, 110, 109)"
mov [ebp+var_5E8],"rgb(100, 130, 90)"
mov [ebp+var_598],"rgb(100, 129, 91)"
ebp [esi+40h],"rgb(100, 128, 92)"
short loc_40390C,"rgb(100, 127, 93)"
short loc_4039C2,"rgb(100, 126, 94)"
cmp dword_4167B8,"rgb(100, 125, 95)"
short loc_4031F3,"rgb(100, 124, 96)"
[esi+11Ch] edi,"rgb(100, 123, 97)"
mov [ebx+1A8h],"rgb(100, 122, 98)"
[eax+25Ch] 0,"rgb(100, 121, 99)"
short loc_403520,"rgb(100, 120, 100)"
ptr [esi+0AEh],"rgb(100, 119, 101)"
ptr [edx-0Dh],"rgb(100, 118, 102)"
cmp dword_4167D8,"rgb(100, 117, 103)"
ptr [eax+194h],"rgb(100, 116, 104)"
ecx 76Ch,"rgb(100, 115, 105)"
ecx 69h,"rgb(100, 114, 106)"
mov [ebx-8],"rgb(100, 113, 107)"
[ebp+hFileMappingObject] ebx,"rgb(100, 112, 108)"
mov [esi+eax+14h],"rgb(100, 111, 109)"
short loc_403656,"rgb(100, 110, 110)"
call DdeGetData,"rgb(99, 131, 90)"
short loc_10003E5A,"rgb(99, 130, 91)"
short loc_10003DD0,"rgb(99, 129, 92)"
push 187h,"rgb(99, 128, 93)"
ecx 53h,"rgb(99, 127, 94)"
call ds:CreateSemaphoreA,"rgb(99, 126, 95)"
[ebp+var_80C] eax,"rgb(99, 125, 96)"
[ebp+hData] eax,"rgb(99, 124, 97)"
[esp+1Ch] 0FFFFFFFFh,"rgb(99, 123, 98)"
short loc_100063DD,"rgb(99, 122, 99)"
dw 150h,"rgb(99, 121, 100)"
short loc_10006458,"rgb(99, 120, 101)"
short loc_402C21,"rgb(99, 119, 102)"
dw 105h,"rgb(99, 118, 103)"
cx 18h,"rgb(99, 117, 104)"
[ebp-10h] 20h,"rgb(99, 116, 105)"
aR db,"rgb(99, 115, 106)"
edi ds:LCMapStringA,"rgb(99, 114, 107)"
edi ds:GetSysColor,"rgb(99, 113, 108)"
edi ds:0[ecx*4],"rgb(99, 112, 109)"
ptr [ebp-428h],"rgb(99, 111, 110)"
mov [ebp+var_704],"rgb(99, 110, 111)"
eax [ebp-2],"rgb(98, 132, 90)"
esi [ecx+54h],"rgb(98, 131, 91)"
short loc_100062FC,"rgb(98, 130, 92)"
[esp+50h+var_4] 7,"rgb(98, 129, 93)"
[esp+6Ch+var_4] ebx,"rgb(98, 128, 94)"
esi [edx+edi*4],"rgb(98, 127, 95)"
[esp+40h+var_14] edx,"rgb(98, 126, 96)"
[esp+40h+var_28] ecx,"rgb(98, 125, 97)"
mov [ebp+var_3EC],"rgb(98, 124, 98)"
short loc_41012F,"rgb(98, 123, 99)"
[ebp+var_A] bl,"rgb(98, 122, 100)"
short loc_404013,"rgb(98, 121, 101)"
short loc_40F3BC,"rgb(98, 120, 102)"
inc [ebp+var_20+2],"rgb(98, 119, 103)"
inc [ebp+var_24+2],"rgb(98, 118, 104)"
short loc_40364D,"rgb(98, 117, 105)"
short loc_401AF7,"rgb(98, 116, 106)"
short loc_407D20,"rgb(98, 115, 107)"
[esp+0Ch+arg_0] ebx,"rgb(98, 114, 108)"
inc [ebp+var_19],"rgb(98, 113, 109)"
short loc_41011F,"rgb(98, 112, 110)"
jmp ds:MoveWindow,"rgb(98, 111, 111)"
call [ebp+arg_1C],"rgb(98, 110, 112)"
short loc_4034E8,"rgb(97, 133, 90)"
short loc_1000653A,"rgb(97, 132, 91)"
eax [ebp+nWidth],"rgb(97, 131, 92)"
short loc_401C86,"rgb(97, 130, 93)"
short loc_407A9A,"rgb(97, 129, 94)"
[ebp-10h] 0Ch,"rgb(97, 128, 95)"
short loc_4010B4,"rgb(97, 127, 96)"
short loc_404DFD,"rgb(97, 126, 97)"
short loc_401CA6,"rgb(97, 125, 98)"
short loc_401CB0,"rgb(97, 124, 99)"
short loc_403058,"rgb(97, 123, 100)"
esi [ebx+6Ch],"rgb(97, 122, 101)"
jmp ds:SetWindowLongW,"rgb(97, 121, 102)"
fstp [ebp+var_48],"rgb(97, 120, 103)"
short loc_408B00,"rgb(97, 119, 104)"
[esp+40h+var_30] edx,"rgb(97, 118, 105)"
short loc_10002507,"rgb(97, 117, 106)"
short loc_100024B0,"rgb(97, 116, 107)"
ecx 11Ch,"rgb(97, 115, 108)"
short loc_40742A,"rgb(97, 114, 109)"
cx [esi+0Ch],"rgb(97, 113, 110)"
[esi+48h] 2,"rgb(97, 112, 111)"
ptr [edx+22h],"rgb(97, 111, 112)"
short loc_401CED,"rgb(97, 110, 113)"
short loc_403F6D,"rgb(96, 134, 90)"
[ebp-210h] 0,"rgb(96, 133, 91)"
short loc_100061F0,"rgb(96, 132, 92)"
short loc_4100F3,"rgb(96, 131, 93)"
ror ebp,"rgb(96, 130, 94)"
short loc_4049D2,"rgb(96, 129, 95)"
short loc_404A2E,"rgb(96, 128, 96)"
short loc_407476,"rgb(96, 127, 97)"
short loc_10002454,"rgb(96, 126, 98)"
short loc_10006141,"rgb(96, 125, 99)"
short loc_10006110,"rgb(96, 124, 100)"
fcomp st(3),"rgb(96, 123, 101)"
short loc_40F120,"rgb(96, 122, 102)"
[edi+4] bl,"rgb(96, 121, 103)"
short loc_4073DB,"rgb(96, 120, 104)"
jmp ds:fprintf,"rgb(96, 119, 105)"
short loc_410102,"rgb(96, 118, 106)"
fsubp st(3),"rgb(96, 117, 107)"
short loc_405448,"rgb(96, 116, 108)"
short loc_4100CB,"rgb(96, 115, 109)"
[esp+10h+var_8] edx,"rgb(96, 114, 110)"
[ebp-0A4h] ebx,"rgb(96, 113, 111)"
push 0FFFFFFE6h,"rgb(96, 112, 112)"
short loc_10007879,"rgb(96, 111, 113)"
jmp ds:RegQueryValueExW,"rgb(96, 110, 114)"
short loc_404D6C,"rgb(95, 135, 90)"
[ebp+var_10] dx,"rgb(95, 134, 91)"
edx 4Eh,"rgb(95, 133, 92)"
short loc_4045B9,"rgb(95, 132, 93)"
short loc_403A8A,"rgb(95, 131, 94)"
short loc_10002747,"rgb(95, 130, 95)"
[ebp+var_24] al,"rgb(95, 129, 96)"
short loc_4043EC,"rgb(95, 128, 97)"
ecx [ebp+var_884],"rgb(95, 127, 98)"
[esp+0CCh+var_C8] ecx,"rgb(95, 126, 99)"
ecx [esp+lpMultiByteStr],"rgb(95, 125, 100)"
short loc_407F77,"rgb(95, 124, 101)"
ebp 14h,"rgb(95, 123, 102)"
edi [esi+0C0h],"rgb(95, 122, 103)"
jmp ds:UpdateWindow,"rgb(95, 121, 104)"
short loc_40335E,"rgb(95, 120, 105)"
short loc_401A6D,"rgb(95, 119, 106)"
short loc_402ABD,"rgb(95, 118, 107)"
[ebp+var_470] 0,"rgb(95, 117, 108)"
short loc_100060BA,"rgb(95, 116, 109)"
short loc_40119A,"rgb(95, 115, 110)"
[esi+0C0h] ecx,"rgb(95, 114, 111)"
[ebp+var_C] 80h,"rgb(95, 113, 112)"
short loc_402D94,"rgb(95, 112, 113)"
[ebp+var_4A0] 0,"rgb(95, 111, 114)"
push 16Ch,"rgb(95, 110, 115)"
dw 341h,"rgb(94, 136, 90)"
short loc_100065B0,"rgb(94, 135, 91)"
short loc_10007980,"rgb(94, 134, 92)"
short loc_406413,"rgb(94, 133, 93)"
short loc_10002A35,"rgb(94, 132, 94)"
eax [ebp+var_29],"rgb(94, 131, 95)"
dd 8000000Ah,"rgb(94, 130, 96)"
cx [esp+arg_0],"rgb(94, 129, 97)"
call ds:RemovePropA,"rgb(94, 128, 98)"
short loc_402CDC,"rgb(94, 127, 99)"
esi [ebp+pvParam],"rgb(94, 126, 100)"
esi [ebp+Type],"rgb(94, 125, 101)"
esi [eax+78h],"rgb(94, 124, 102)"
[esp+78h+var_74] ecx,"rgb(94, 123, 103)"
dw 70h,"rgb(94, 122, 104)"
ecx [esp+58h+var_4C],"rgb(94, 121, 105)"
[esp+2Ch+var_14] edx,"rgb(94, 120, 106)"
short loc_401604,"rgb(94, 119, 107)"
short loc_100023DA,"rgb(94, 118, 108)"
short loc_100022D3,"rgb(94, 117, 109)"
esi [esp+4+dwBytes],"rgb(94, 116, 110)"
[esp+24h+arg_4] esi,"rgb(94, 115, 111)"
[esp+20h+var_4] 5,"rgb(94, 114, 112)"
short loc_403F0F,"rgb(94, 113, 113)"
mov [eax+0Fh],"rgb(94, 112, 114)"
short loc_404F99,"rgb(94, 111, 115)"
[esi+54h] ebp,"rgb(94, 110, 116)"
ecx [edi+0C0h],"rgb(93, 137, 90)"
short loc_406745,"rgb(93, 136, 91)"
bl 3Dh,"rgb(93, 135, 92)"
short loc_1000602E,"rgb(93, 134, 93)"
[ebp+var_4] cx,"rgb(93, 133, 94)"
short loc_401C3B,"rgb(93, 132, 95)"
[eax+edx*4+4] 1,"rgb(93, 131, 96)"
mov [ebp+var_3D8],"rgb(93, 130, 97)"
jmp ds:ReleaseMutex,"rgb(93, 129, 98)"
short loc_4043B2,"rgb(93, 128, 99)"
short loc_1000676A,"rgb(93, 127, 100)"
short loc_4042A3,"rgb(93, 126, 101)"
short loc_1000628E,"rgb(93, 125, 102)"
short loc_40672A,"rgb(93, 124, 103)"
edi [edi+40h],"rgb(93, 123, 104)"
fstp [ebp+var_64],"rgb(93, 122, 105)"
short loc_4066F4,"rgb(93, 121, 106)"
[esi+40h] 0FFFFFFFFh,"rgb(93, 120, 107)"
ptr [ebp-24Ch],"rgb(93, 119, 108)"
dw 75h,"rgb(93, 118, 109)"
short loc_402DB8,"rgb(93, 117, 110)"
short loc_4015A8,"rgb(93, 116, 111)"
[esp+1Ch+var_4] 7,"rgb(93, 115, 112)"
ecx [ebp+68h],"rgb(93, 114, 113)"
fstp [ebp+var_98],"rgb(93, 113, 114)"
edi [ebp+var_2A],"rgb(93, 112, 115)"
short loc_10002204,"rgb(93, 111, 116)"
short loc_404B5F,"rgb(93, 110, 117)"
short loc_100068DF,"rgb(92, 138, 90)"
short loc_1000685C,"rgb(92, 137, 91)"
short loc_401C3D,"rgb(92, 136, 92)"
short loc_10005A92,"rgb(92, 135, 93)"
[esp+8+arg_8] 0,"rgb(92, 134, 94)"
short loc_40F0C3,"rgb(92, 133, 95)"
short loc_1000288C,"rgb(92, 132, 96)"
short loc_10002880,"rgb(92, 131, 97)"
short loc_401F43,"rgb(92, 130, 98)"
[esi+4] cl,"rgb(92, 129, 99)"
[esp+13Ch+var_138] edx,"rgb(92, 128, 100)"
ecx [esi+1A0h],"rgb(92, 127, 101)"
short loc_401F22,"rgb(92, 126, 102)"
short loc_10006955,"rgb(92, 125, 103)"
[ebp+var_450] 0,"rgb(92, 124, 104)"
short loc_10005220,"rgb(92, 123, 105)"
short loc_10005080,"rgb(92, 122, 106)"
mov [ebp+pExecInfo.nShow],"rgb(92, 121, 107)"
ptr [edi+0D4h],"rgb(92, 120, 108)"
[esi+204h] eax,"rgb(92, 119, 109)"
[edi] 10h,"rgb(92, 118, 110)"
short loc_403970,"rgb(92, 117, 111)"
short loc_1000618C,"rgb(92, 116, 112)"
[ebx+34h] 1,"rgb(92, 115, 113)"
short loc_4033F9,"rgb(92, 114, 114)"
or [ebp+var_54],"rgb(92, 113, 115)"
short loc_1000547C,"rgb(92, 112, 116)"
short loc_401AC2,"rgb(92, 111, 117)"
jmp ds:HeapDestroy,"rgb(92, 110, 118)"
jmp ds:HeapReAlloc,"rgb(91, 139, 90)"
[ebp+var_114] esi,"rgb(91, 138, 91)"
[ebp+var_1D8] 0,"rgb(91, 137, 92)"
[ebp+var_1D0] eax,"rgb(91, 136, 93)"
short loc_40443D,"rgb(91, 135, 94)"
short loc_10002910,"rgb(91, 134, 95)"
offset aFtp,"rgb(91, 133, 96)"
short loc_402815,"rgb(91, 132, 97)"
es:[edi] byte,"rgb(91, 131, 98)"
[esi+14h] 0FFFFFFFFh,"rgb(91, 130, 99)"
[esi+11h] 1,"rgb(91, 129, 100)"
short loc_10005D2C,"rgb(91, 128, 101)"
100003h 80000h,"rgb(91, 127, 102)"
short loc_401944,"rgb(91, 126, 103)"
short loc_10006A39,"rgb(91, 125, 104)"
[esp+50h+var_4] 8,"rgb(91, 124, 105)"
[esp+50h] eax,"rgb(91, 123, 106)"
short loc_402C0A,"rgb(91, 122, 107)"
short loc_401FBE,"rgb(91, 121, 108)"
short loc_4019D3,"rgb(91, 120, 109)"
[ebp+var_118] 114h,"rgb(91, 119, 110)"
short loc_1000694A,"rgb(91, 118, 111)"
short loc_4034E0,"rgb(91, 117, 112)"
short loc_10004F64,"rgb(91, 116, 113)"
short loc_10004F58,"rgb(91, 115, 114)"
short loc_10004F2E,"rgb(91, 114, 115)"
short loc_10004EB0,"rgb(91, 113, 116)"
short loc_403580,"rgb(91, 112, 117)"
[esi+28h] 0FFFFFFFFh,"rgb(91, 111, 118)"
[ebp+var_724] eax,"rgb(91, 110, 119)"
esi [eax+34h],"rgb(90, 140, 90)"
short loc_4024D8,"rgb(90, 139, 91)"
short loc_10004E33,"rgb(90, 138, 92)"
short loc_402596,"rgb(90, 137, 93)"
short loc_401F5B,"rgb(90, 136, 94)"
edi [ebx+78h],"rgb(90, 135, 95)"
[esi+64h] al,"rgb(90, 134, 96)"
mov [ebp+var_A44],"rgb(90, 133, 97)"
mov [ebp+var_A0C],"rgb(90, 132, 98)"
[edx] 8000h,"rgb(90, 131, 99)"
[ebp+var_138] esi,"rgb(90, 130, 100)"
short loc_401330,"rgb(90, 129, 101)"
bl 70h,"rgb(90, 128, 102)"
esp 184h,"rgb(90, 127, 103)"
short loc_404F37,"rgb(90, 126, 104)"
short loc_4031C0,"rgb(90, 125, 105)"
short loc_1000483A,"rgb(90, 124, 106)"
short loc_10004800,"rgb(90, 123, 107)"
short loc_1000467E,"rgb(90, 122, 108)"
short loc_100044FA,"rgb(90, 121, 109)"
short loc_10004483,"rgb(90, 120, 110)"
short loc_401DD7,"rgb(90, 119, 111)"
short loc_403918,"rgb(90, 118, 112)"
esi 22h,"rgb(90, 117, 113)"
short loc_403BE4,"rgb(90, 116, 114)"
short loc_402F4A,"rgb(90, 115, 115)"
mov [ebp+var_844],"rgb(90, 114, 116)"
mov [ebp+var_814],"rgb(90, 113, 117)"
short loc_10004435,"rgb(90, 112, 118)"
short loc_40363F,"rgb(90, 111, 119)"
